subject,treatment,units,justice,relative_justice
1,0,0,0,0
1,0,200,0,0
1,0,400,0,0
1,0,600,.15000001,10
1,0,800,.30000001,10
1,0,1000,1,0
1,0,1200,1,0
1,0,1400,1,0
1,0,1600,1,0
1,0,1800,1,0
1,0,2000,1,
2,0,0,0,0
2,0,200,0,0
2,0,400,0,0
2,0,600,0,0
2,0,800,0,10
2,0,1000,.80000001,8
2,0,1200,1,8
2,0,1400,1,0
2,0,1600,.5,-6
2,0,1800,.30000001,-10
2,0,2000,0,
3,0,0,0,1
3,0,200,0,1
3,0,400,0,1
3,0,600,0,1
3,0,800,0,5
3,0,1000,.81,5
3,0,1200,.86000001,5
3,0,1400,.89999998,5
3,0,1600,.94,5
3,0,1800,.95999998,10
3,0,2000,1,
4,0,0,0,0
4,0,200,.2,0
4,0,400,.40000001,6
4,0,600,.51999998,6
4,0,800,.60000002,9
4,0,1000,.89999998,6
4,0,1200,.93000001,6
4,0,1400,1,6
4,0,1600,1,6
4,0,1800,1,6
4,0,2000,1,
5,0,0,0,0
5,0,200,.0099999998,0
5,0,400,.0099999998,0
5,0,600,.0099999998,0
5,0,800,.0099999998,10
5,0,1000,.5,10
5,0,1200,.60000002,10
5,0,1400,.69999999,10
5,0,1600,.80000001,10
5,0,1800,.89999998,10
5,0,2000,1,
6,0,0,0,0
6,0,200,0,0
6,0,400,0,0
6,0,600,0,2
6,0,800,.16,5
6,0,1000,.43000001,0
6,0,1200,.56999999,6
6,0,1400,.68000001,7
6,0,1600,.74000001,3
6,0,1800,.86000001,2
6,0,2000,1,
7,0,0,0,1
7,0,200,.039999999,2
7,0,400,.059999999,3
7,0,600,.079999998,4
7,0,800,.1,7
7,0,1000,.63,8
7,0,1200,.86000001,9
7,0,1400,.91000003,9
7,0,1600,1,9
7,0,1800,1,10
7,0,2000,1,
8,0,0,0,0
8,0,200,0,0
8,0,400,0,0
8,0,600,.28,0
8,0,800,.69,7
8,0,1000,.89999998,0
8,0,1200,.91000003,0
8,0,1400,.92000002,0
8,0,1600,.93000001,0
8,0,1800,.94,0
8,0,2000,1,
9,0,0,0,0
9,0,200,0,0
9,0,400,0,0
9,0,600,0,0
9,0,800,.059999999,8
9,0,1000,.37,6
9,0,1200,.5,6
9,0,1400,.58999997,6
9,0,1600,1,6
9,0,1800,.85000002,6
9,0,2000,.83999997,
10,0,0,0,0
10,0,200,0,0
10,0,400,0,0
10,0,600,0,0
10,0,800,0,9
10,0,1000,.5,6
10,0,1200,.64999998,5
10,0,1400,.75,4
10,0,1600,1,4
10,0,1800,1,4
10,0,2000,1,
11,0,0,0,0
11,0,200,0,0
11,0,400,0,0
11,0,600,0,0
11,0,800,0,10
11,0,1000,.5,7
11,0,1200,.61000001,7
11,0,1400,.70999998,7
11,0,1600,.80000001,7
11,0,1800,.89999998,7
11,0,2000,1,
12,0,0,0,0
12,0,200,0,0
12,0,400,0,0
12,0,600,0,0
12,0,800,0,10
12,0,1000,0,10
12,0,1200,0,10
12,0,1400,.51999998,10
12,0,1600,.72000003,10
12,0,1800,.89999998,10
12,0,2000,1,
13,0,0,0,0
13,0,200,0,0
13,0,400,0,0
13,0,600,0,0
13,0,800,0,0
13,0,1000,.30000001,5
13,0,1200,.5,6
13,0,1400,.75999999,7
13,0,1600,.82999998,8
13,0,1800,.89999998,5
13,0,2000,1,
14,0,0,0,2
14,0,200,.2,3
14,0,400,.40000001,4
14,0,600,.60000002,5
14,0,800,.80000001,10
14,0,1000,1,0
14,0,1200,.89999998,0
14,0,1400,.80000001,0
14,0,1600,.69999999,0
14,0,1800,.60000002,0
14,0,2000,.5,
15,0,0,0,5
15,0,200,.2,6
15,0,400,.40000001,7
15,0,600,.60000002,8
15,0,800,.80000001,9
15,0,1000,1,-10
15,0,1200,.80000001,0
15,0,1400,.60000002,0
15,0,1600,.62,0
15,0,1800,.40000001,0
15,0,2000,.2,
16,0,0,0,8
16,0,200,.20999999,8
16,0,400,.37,10
16,0,600,.46000001,10
16,0,800,.61000001,10
16,0,1000,.68000001,0
16,0,1200,.73000002,0
16,0,1400,.89999998,0
16,0,1600,.93000001,0
16,0,1800,.93000001,0
16,0,2000,1,
17,0,0,0,1
17,0,200,.029999999,2
17,0,400,.090000004,3
17,0,600,.14,2
17,0,800,.22,6
17,0,1000,1,7
17,0,1200,1,8
17,0,1400,1,3
17,0,1600,1,3
17,0,1800,1,3
17,0,2000,1,
18,0,0,0,1
18,0,200,0,1
18,0,400,0,1
18,0,600,.1,1
18,0,800,.2,4
18,0,1000,.89999998,2
18,0,1200,.94999999,1
18,0,1400,.94999999,2
18,0,1600,.99000001,2
18,0,1800,.98000002,7
18,0,2000,.95999998,
19,0,0,0,0
19,0,200,.11,0
19,0,400,.36000001,0
19,0,600,.63999999,0
19,0,800,.75999999,6
19,0,1000,1,7
19,0,1200,0,7
19,0,1400,0,0
19,0,1600,0,0
19,0,1800,0,0
19,0,2000,0,
20,0,0,0,0
20,0,200,0,0
20,0,400,0,0
20,0,600,0,0
20,0,800,0,10
20,0,1000,1,0
20,0,1200,1,0
20,0,1400,1,0
20,0,1600,1,0
20,0,1800,1,0
20,0,2000,1,
21,0,0,0,2
21,0,200,0,3
21,0,400,0,3
21,0,600,0,2
21,0,800,.2,4
21,0,1000,.69999999,5
21,0,1200,.83999997,6
21,0,1400,.94999999,7
21,0,1600,.99000001,8
21,0,1800,.98000002,9
21,0,2000,.99000001,
22,0,0,0,0
22,0,200,.1,0
22,0,400,.2,0
22,0,600,.30000001,7
22,0,800,.40000001,9
22,0,1000,.5,9
22,0,1200,.60000002,9
22,0,1400,.69999999,9
22,0,1600,.80000001,9
22,0,1800,.89999998,9
22,0,2000,1,
23,0,0,0,0
23,0,200,0,0
23,0,400,0,0
23,0,600,0,0
23,0,800,0,0
23,0,1000,0,10
23,0,1200,.2,10
23,0,1400,.40000001,10
23,0,1600,.60000002,10
23,0,1800,.80000001,10
23,0,2000,1,
24,0,0,.07,0
24,0,200,.1,0
24,0,400,.33000001,2
24,0,600,.56999999,4
24,0,800,.75,5
24,0,1000,.92000002,7
24,0,1200,1,7
24,0,1400,1,7
24,0,1600,1,7
24,0,1800,1,7
24,0,2000,1,
25,0,0,0,1
25,0,200,0,1
25,0,400,0,2
25,0,600,0,4
25,0,800,0,5
25,0,1000,.1,6
25,0,1200,.2,7
25,0,1400,.40000001,7
25,0,1600,.60000002,8
25,0,1800,.80000001,10
25,0,2000,1,
26,0,0,0,7
26,0,200,.11,7
26,0,400,.34999999,7
26,0,600,.47,7
26,0,800,.69,6
26,0,1000,1,-8
26,0,1200,1,-8
26,0,1400,.69999999,0
26,0,1600,.47999999,-8
26,0,1800,.18000001,-8
26,0,2000,.15000001,
27,0,0,0,0
27,0,200,0,0
27,0,400,0,0
27,0,600,0,0
27,0,800,0,10
27,0,1000,1,10
27,0,1200,1,10
27,0,1400,1,10
27,0,1600,1,10
27,0,1800,1,10
27,0,2000,1,
28,0,0,.5,0
28,0,200,.5,0
28,0,400,.5,0
28,0,600,.5,0
28,0,800,.5,5
28,0,1000,1,0
28,0,1200,1,0
28,0,1400,1,0
28,0,1600,1,0
28,0,1800,1,0
28,0,2000,1,
29,0,0,0,0
29,0,200,0,0
29,0,400,0,0
29,0,600,0,0
29,0,800,0,10
29,0,1000,.75,10
29,0,1200,.85000002,7
29,0,1400,.89999998,0
29,0,1600,.89999998,0
29,0,1800,.94999999,0
29,0,2000,1,
30,0,0,0,0
30,0,200,0,0
30,0,400,0,0
30,0,600,0,0
30,0,800,0,10
30,0,1000,.60000002,9
30,0,1200,.69999999,9
30,0,1400,.85000002,9
30,0,1600,.85000002,8
30,0,1800,.89999998,6
30,0,2000,1,
31,0,0,0,0
31,0,200,0,0
31,0,400,0,0
31,0,600,0,0
31,0,800,0,10
31,0,1000,.5,8
31,0,1200,.60000002,6
31,0,1400,.80000001,2
31,0,1600,.94999999,0
31,0,1800,1,0
31,0,2000,1,
32,0,0,0,2
32,0,200,.14,6
32,0,400,.23,-1
32,0,600,.34999999,0
32,0,800,.5,10
32,0,1000,1,0
32,0,1200,1,0
32,0,1400,1,0
32,0,1600,1,0
32,0,1800,1,0
32,0,2000,1,
33,0,0,0,0
33,0,200,0,0
33,0,400,0,0
33,0,600,0,0
33,0,800,0,2
33,0,1000,.5,2
33,0,1200,1,2
33,0,1400,1,2
33,0,1600,1,2
33,0,1800,1,2
33,0,2000,1,
34,0,0,0,0
34,0,200,0,0
34,0,400,0,0
34,0,600,0,0
34,0,800,.2,1
34,0,1000,.5,6
34,0,1200,.5,2
34,0,1400,.85000002,5
34,0,1600,.89999998,5
34,0,1800,1,3
34,0,2000,1,
35,0,0,0,0
35,0,200,0,0
35,0,400,0,0
35,0,600,0,0
35,0,800,0,6
35,0,1000,.5,9
35,0,1200,.60000002,9
35,0,1400,.75,9
35,0,1600,.85000002,8
35,0,1800,.94999999,8
35,0,2000,1,
36,0,0,0,1
36,0,200,.0099999998,0
36,0,400,.050000001,0
36,0,600,.15000001,10
36,0,800,.5,9
36,0,1000,1,0
36,0,1200,.80000001,-9
36,0,1400,.40000001,0
36,0,1600,.2,0
36,0,1800,.15000001,0
36,0,2000,.1,
37,0,0,0,0
37,0,200,0,0
37,0,400,0,0
37,0,600,0,0
37,0,800,0,10
37,0,1000,1,9
37,0,1200,.73000002,9
37,0,1400,.36000001,-8
37,0,1600,.2,0
37,0,1800,0,0
37,0,2000,0,
38,0,0,0,10
38,0,200,.029999999,6
38,0,400,.090000004,7
38,0,600,.17,9
38,0,800,.37,8
38,0,1000,.5,2
38,0,1200,.55000001,2
38,0,1400,.66000003,2
38,0,1600,.75,2
38,0,1800,.86000001,2
38,0,2000,1,
39,0,0,0,6
39,0,200,.12,6
39,0,400,.17,6
39,0,600,.25,6
39,0,800,.30000001,10
39,0,1000,.58999997,-8
39,0,1200,.5,2
39,0,1400,.55000001,4
39,0,1600,.67000002,4
39,0,1800,.88999999,5
39,0,2000,1,
