id,kind_of_need,eval
1,1,7
1,2,4
1,3,4
1,4,4
2,1,7
2,2,6
2,3,2
2,4,1
3,1,7
3,2,6
3,3,4
3,4,6
4,1,7
4,2,6
4,3,2
4,4,2
5,1,7
5,2,5
5,3,4
5,4,3
6,1,7
6,2,6
6,3,5
6,4,3
7,1,7
7,2,6
7,3,5
7,4,4
8,1,7
8,2,6
8,3,5
8,4,3
9,1,7
9,2,6
9,3,5
9,4,2
10,1,6
10,2,4
10,3,4
10,4,2
11,1,7
11,2,7
11,3,6
11,4,4
12,1,7
12,2,5
12,3,4
12,4,2
13,1,5
13,2,7
13,3,3
13,4,3
14,1,7
14,2,6
14,3,4
14,4,2
15,1,7
15,2,6
15,3,4
15,4,2
16,1,7
16,2,4
16,3,2
16,4,2
17,1,7
17,2,6
17,3,
17,4,2
18,1,7
18,2,6
18,3,3
18,4,4
19,1,7
19,2,4
19,3,5
19,4,3
20,1,7
20,2,5
20,3,2
20,4,1
21,1,7
21,2,7
21,3,4
21,4,3
22,1,7
22,2,7
22,3,2
22,4,1
23,1,7
23,2,6
23,3,4
23,4,7
24,1,7
24,2,6
24,3,5
24,4,4
25,1,7
25,2,7
25,3,2
25,4,3
26,1,7
26,2,7
26,3,6
26,4,3
27,1,7
27,2,6
27,3,2
27,4,2
28,1,7
28,2,7
28,3,5
28,4,7
29,1,7
29,2,5
29,3,3
29,4,4
30,1,7
30,2,6
30,3,5
30,4,2
31,1,7
31,2,6
31,3,5
31,4,3
32,1,7
32,2,7
32,3,6
32,4,3
33,1,7
33,2,6
33,3,5
33,4,3
34,1,7
34,2,7
34,3,5
34,4,5
35,1,7
35,2,6
35,3,5
35,4,4
36,1,7
36,2,6
36,3,4
36,4,2
37,1,7
37,2,6
37,3,4
37,4,5
38,1,7
38,2,6
38,3,5
38,4,5
39,1,7
39,2,3
39,3,1
39,4,2
40,1,3
40,2,4
40,3,1
40,4,1
41,1,7
41,2,7
41,3,7
41,4,5
42,1,7
42,2,3
42,3,2
42,4,1
43,1,7
43,2,7
43,3,4
43,4,5
44,1,7
44,2,5
44,3,4
44,4,5
45,1,7
45,2,6
45,3,4
45,4,4
46,1,7
46,2,7
46,3,5
46,4,5
47,1,7
47,2,6
47,3,5
47,4,2
48,1,7
48,2,6
48,3,4
48,4,5
49,1,7
49,2,7
49,3,6
49,4,7
50,1,7
50,2,7
50,3,7
50,4,7
51,1,7
51,2,6
51,3,5
51,4,2
52,1,7
52,2,6
52,3,1
52,4,1
53,1,7
53,2,7
53,3,4
53,4,4
54,1,7
54,2,7
54,3,2
54,4,1
55,1,7
55,2,6
55,3,4
55,4,4
56,1,7
56,2,7
56,3,7
56,4,1
57,1,7
57,2,7
57,3,6
57,4,5
58,1,7
58,2,6
58,3,5
58,4,3
59,1,7
59,2,6
59,3,4
59,4,4
60,1,7
60,2,6
60,3,5
60,4,1
61,1,7
61,2,7
61,3,1
61,4,2
62,1,5
62,2,5
62,3,1
62,4,3
63,1,7
63,2,5
63,3,3
63,4,1
64,1,7
64,2,7
64,3,3
64,4,4
65,1,7
65,2,6
65,3,3
65,4,2
66,1,7
66,2,6
66,3,4
66,4,5
67,1,7
67,2,5
67,3,4
67,4,3
68,1,7
68,2,7
68,3,1
68,4,1
69,1,7
69,2,6
69,3,5
69,4,2
70,1,4
70,2,4
70,3,4
70,4,4
71,1,7
71,2,7
71,3,5
71,4,4
72,1,7
72,2,6
72,3,5
72,4,4
73,1,7
73,2,6
73,3,5
73,4,4
74,1,7
74,2,6
74,3,3
74,4,3
75,1,7
75,2,7
75,3,4
75,4,1
76,1,7
76,2,6
76,3,5
76,4,4
77,1,7
77,2,7
77,3,4
77,4,3
78,1,7
78,2,7
78,3,2
78,4,4
79,1,7
79,2,3
79,3,4
79,4,2
80,1,7
80,2,6
80,3,2
80,4,2
81,1,7
81,2,7
81,3,4
81,4,5
82,1,7
82,2,6
82,3,6
82,4,4
83,1,7
83,2,7
83,3,4
83,4,3
84,1,7
84,2,6
84,3,4
84,4,3
85,1,7
85,2,6
85,3,4
85,4,4
86,1,7
86,2,5
86,3,5
86,4,6
87,1,6
87,2,6
87,3,3
87,4,4
88,1,7
88,2,6
88,3,4
88,4,2
89,1,6
89,2,6
89,3,3
89,4,3
90,1,7
90,2,7
90,3,3
90,4,2
91,1,7
91,2,5
91,3,5
91,4,4
92,1,7
92,2,7
92,3,6
92,4,5
93,1,7
93,2,7
93,3,7
93,4,7
94,1,7
94,2,6
94,3,2
94,4,1
95,1,7
95,2,7
95,3,7
95,4,3
96,1,7
96,2,6
96,3,3
96,4,2
97,1,7
97,2,6
97,3,7
97,4,5
98,1,4
98,2,
98,3,7
98,4,7
99,1,7
99,2,6
99,3,2
99,4,2
100,1,7
100,2,5
100,3,4
100,4,4
