id,kind_of_need,allocation_diff,productivity
1,3,,0
1,4,,0
1,1,0,1
1,4,,1
1,1,0,0
1,3,,1
1,2,,1
1,2,,0
2,2,,1
2,4,0,0
2,3,,1
2,3,,0
2,2,,0
2,1,,0
2,1,,1
2,4,0,1
3,4,,0
3,2,,1
3,4,,1
3,1,0,1
3,3,,0
3,3,,1
3,1,0,0
3,2,,0
4,2,-100,1
4,4,,0
4,2,0,0
4,3,,1
4,1,,0
4,3,,0
4,4,,1
4,1,,1
5,4,,1
5,2,0,1
5,1,,0
5,3,,1
5,2,0,0
5,1,,1
5,3,,0
5,4,,0
6,4,-300,1
6,1,,1
6,2,,0
6,4,0,0
6,2,,1
6,3,,0
6,1,,0
6,3,,1
7,2,,1
7,4,,1
7,2,,0
7,4,,0
7,3,0,0
7,3,0,1
7,1,,1
7,1,,0
8,1,,1
8,4,0,1
8,1,,0
8,4,0,0
8,2,,0
8,2,,1
8,3,,1
8,3,,0
9,4,,1
9,2,,0
9,3,,0
9,3,,1
9,1,0,1
9,2,,1
9,4,,0
9,1,0,0
10,3,0,0
10,4,,0
10,2,,0
10,1,,0
10,4,,1
10,3,0,1
10,1,,1
10,2,,1
11,4,0,0
11,1,,1
11,2,,0
11,4,-400,1
11,3,,1
11,2,,1
11,1,,0
11,3,,0
12,1,,1
12,1,,0
12,3,,0
12,2,0,0
12,4,,1
12,3,,1
12,4,,0
12,2,0,1
13,3,-600,1
13,1,,0
13,2,,1
13,2,,0
13,4,,1
13,3,0,0
13,4,,0
13,1,,1
14,2,0,1
14,3,,0
14,1,,1
14,3,,1
14,1,,0
14,4,,1
14,2,0,0
14,4,,0
15,3,,1
15,2,-200,1
15,4,,1
15,3,,0
15,1,,0
15,2,0,0
15,4,,0
15,1,,1
16,4,,0
16,1,-600,1
16,4,,1
16,3,,1
16,2,,0
16,3,,0
16,1,0,0
16,2,,1
17,3,,1
17,2,,1
17,1,0,1
17,4,,0
17,4,,1
17,2,,0
17,3,,0
17,1,0,0
18,1,-600,1
18,2,,0
18,3,,1
18,4,,1
18,2,,1
18,3,,0
18,1,0,0
18,4,,0
19,2,,1
19,3,-400,1
19,1,,1
19,4,,0
19,2,,0
19,1,,0
19,3,0,0
19,4,,1
20,1,-600,1
20,2,,1
20,1,0,0
20,4,,0
20,3,,0
20,2,,0
20,3,,1
20,4,,1
21,4,,1
21,1,0,1
21,1,0,0
21,3,,0
21,2,,1
21,4,,0
21,2,,0
21,3,,1
22,4,,1
22,1,,1
22,2,0,1
22,3,,0
22,4,,0
22,2,0,0
22,1,,0
22,3,,1
23,3,,0
23,1,0,1
23,4,,1
23,4,,0
23,2,,0
23,1,0,0
23,3,,1
23,2,,1
24,3,,0
24,2,,1
24,4,,0
24,4,,1
24,1,0,0
24,3,,1
24,1,0,1
24,2,,0
25,4,0,0
25,4,0,1
25,1,,0
25,3,,1
25,3,,0
25,2,,0
25,2,,1
25,1,,1
26,3,,0
26,2,,0
26,2,,1
26,4,0,0
26,1,,1
26,4,-600,1
26,3,,1
26,1,,0
27,3,,1
27,1,-200,1
27,4,,0
27,2,,1
27,1,0,0
27,4,,1
27,2,,0
27,3,,0
28,4,0,0
28,2,,0
28,2,,1
28,3,,0
28,3,,1
28,1,,1
28,1,,0
28,4,0,1
29,4,0,0
29,1,,1
29,1,,0
29,3,,0
29,3,,1
29,2,,0
29,2,,1
29,4,-600,1
30,3,,0
30,2,0,1
30,3,,1
30,1,,0
30,1,,1
30,2,0,0
30,4,,1
30,4,,0
31,4,,0
31,2,,1
31,1,0,0
31,1,-200,1
31,2,,0
31,4,,1
31,3,,0
31,3,,1
32,4,0,0
32,4,0,1
32,3,,1
32,3,,0
32,1,,0
32,2,,0
32,1,,1
32,2,,1
33,2,0,0
33,3,,1
33,1,,1
33,4,,1
33,2,0,1
33,3,,0
33,1,,0
33,4,,0
34,2,,0
34,2,,1
34,4,,0
34,4,,1
34,1,0,1
34,1,0,0
34,3,,1
34,3,,0
35,3,-600,1
35,4,,0
35,3,0,0
35,2,,1
35,2,,0
35,4,,1
35,1,,0
35,1,,1
36,1,,0
36,2,,0
36,4,,0
36,2,,1
36,4,,1
36,3,-200,1
36,3,0,0
36,1,,1
37,4,,1
37,3,,1
37,2,,1
37,2,,0
37,4,,0
37,3,,0
37,1,-600,0
37,1,800,1
38,1,,0
38,3,-300,1
38,4,,1
38,3,0,0
38,2,,0
38,4,,0
38,1,,1
38,2,,1
39,2,,0
39,3,0,0
39,4,,0
39,1,,0
39,1,,1
39,2,,1
39,4,,1
39,3,-600,1
40,4,,0
40,3,,0
40,1,,0
40,2,-600,1
40,2,0,0
40,1,,1
40,3,,1
40,4,,1
41,4,,0
41,1,,0
41,2,0,1
41,3,,0
41,2,0,0
41,1,,1
41,3,,1
41,4,,1
42,3,,1
42,1,0,1
42,4,,1
42,4,,0
42,3,,0
42,1,0,0
42,2,,1
42,2,,0
43,2,0,0
43,4,,1
43,4,,0
43,2,0,1
43,1,,0
43,3,,1
43,1,,1
43,3,,0
44,3,,0
44,4,,1
44,1,,1
44,2,0,0
44,4,,0
44,1,,0
44,3,,1
44,2,-100,1
45,4,0,0
45,1,,0
45,3,,1
45,2,,1
45,4,-600,1
45,3,,0
45,1,,1
45,2,,0
46,2,0,1
46,3,,1
46,2,0,0
46,4,,1
46,1,,1
46,1,,0
46,3,,0
46,4,,0
47,1,,0
47,1,,1
47,2,-600,1
47,3,,1
47,4,,0
47,3,,0
47,2,0,0
47,4,,1
48,4,,1
48,3,,0
48,2,0,1
48,3,,1
48,4,,0
48,1,,1
48,2,0,0
48,1,,0
49,2,,1
49,2,,0
49,3,,1
49,4,,0
49,1,0,0
49,3,,0
49,1,0,1
49,4,,1
50,1,,1
50,2,0,0
50,4,,1
50,3,,1
50,2,-600,1
50,4,,0
50,1,,0
50,3,,0
51,3,,0
51,2,,1
51,4,,1
51,1,0,0
51,3,,1
51,1,0,1
51,2,,0
51,4,,0
52,3,,1
52,1,0,0
52,1,0,1
52,3,,0
52,2,,0
52,4,,1
52,2,,1
52,4,,0
53,2,,1
53,4,-200,1
53,1,,0
53,4,0,0
53,3,,0
53,3,,1
53,2,,0
53,1,,1
54,2,,1
54,2,,0
54,3,,0
54,1,0,0
54,1,0,1
54,4,,1
54,3,,1
54,4,,0
55,3,0,0
55,4,,0
55,4,,1
55,1,,0
55,2,,1
55,3,0,1
55,1,,1
55,2,,0
56,2,,1
56,4,0,1
56,4,0,0
56,3,,0
56,1,,0
56,1,,1
