id,case,allocation_diff,productivity
1,0,0,1
1,2,0,1
1,4,0,1
1,0,0,0
1,1,0,1
1,4,0,0
1,1,0,0
1,2,0,0
1,5,0,0
1,3,0,0
1,5,0,1
1,3,0,1
2,4,200,1
2,2,600,1
2,1,500,0
2,2,500,0
2,4,200,0
2,0,500,0
2,5,0,0
2,5,300,1
2,0,600,1
2,3,500,1
2,3,500,0
2,1,600,1
3,1,600,0
3,0,800,1
3,0,800,0
3,5,400,1
3,2,600,0
3,3,-200,1
3,4,600,0
3,4,400,1
3,3,0,0
3,2,400,1
3,1,600,1
3,5,400,0
4,0,-100,0
4,3,-200,1
4,2,-100,1
4,2,200,0
4,5,-400,1
4,4,200,1
4,1,400,0
4,3,200,0
4,4,200,0
4,5,-200,0
4,1,-200,1
4,0,200,1
5,4,0,1
5,0,0,1
5,2,0,1
5,0,0,0
5,1,0,1
5,3,0,1
5,2,0,0
5,5,0,1
5,4,0,0
5,1,0,0
5,5,0,0
5,3,0,0
6,2,400,1
6,5,0,1
6,0,600,1
6,4,600,1
6,2,400,0
6,1,600,0
6,5,0,0
6,0,600,0
6,4,200,0
6,3,400,1
6,3,400,0
6,1,600,1
7,2,800,1
7,4,0,1
7,4,0,0
7,3,0,0
7,0,800,1
7,2,600,0
7,5,600,0
7,5,600,1
7,0,600,0
7,1,0,0
7,3,0,1
7,1,0,1
8,3,200,0
8,0,600,1
8,2,700,0
8,1,600,0
8,5,-200,1
8,5,200,0
8,4,400,0
8,2,600,1
8,4,200,1
8,1,400,1
8,3,200,1
8,0,700,0
9,2,1000,1
9,3,800,0
9,1,800,1
9,0,1000,0
9,5,0,1
9,4,0,1
9,0,800,1
9,4,0,0
9,3,1000,1
9,2,400,0
9,1,800,0
9,5,0,0
10,5,800,1
10,1,0,0
10,4,0,1
10,1,0,1
10,5,800,0
10,4,0,0
10,2,600,1
10,3,0,0
10,0,800,1
10,3,0,1
10,0,800,0
10,2,800,0
11,2,600,0
11,0,700,0
11,1,800,0
11,4,300,0
11,1,200,1
11,3,400,0
11,3,300,1
11,5,-200,0
11,0,400,1
11,4,400,1
11,2,200,1
11,5,-200,1
12,5,0,0
12,1,600,0
12,4,-200,1
12,4,-200,0
12,3,600,1
12,5,-200,1
12,3,200,0
12,1,600,1
12,0,600,1
12,0,600,0
12,2,600,0
12,2,600,1
13,4,500,0
13,0,800,0
13,5,0,1
13,1,400,1
13,2,300,1
13,1,500,0
13,0,500,1
13,3,200,1
13,4,400,1
13,5,500,0
13,3,700,0
13,2,800,0
14,4,1000,0
14,0,1000,1
14,1,1000,0
14,0,1000,0
14,5,0,0
14,4,1000,1
14,2,1000,1
14,5,0,1
14,2,1000,0
14,1,1000,1
14,3,1000,1
14,3,1000,0
15,0,500,1
15,2,0,1
15,4,200,1
15,3,200,1
15,2,200,0
15,4,300,0
15,5,-200,1
15,0,600,0
15,3,200,0
15,1,600,1
15,5,0,0
15,1,600,0
16,0,200,1
16,1,0,1
16,2,300,1
16,2,0,0
16,5,0,0
16,5,200,1
16,4,0,0
16,1,200,0
16,3,-400,1
16,0,400,0
16,4,0,1
16,3,0,0
17,0,400,1
17,5,400,1
17,3,200,1
17,4,200,0
17,1,400,0
17,3,400,0
17,1,400,1
17,2,400,0
17,0,400,0
17,4,300,1
17,2,400,1
17,5,-200,0
18,5,0,1
18,4,0,1
